Date,Quarter,Time,Year
31-07-2013,Q1,12:36,2013
25-10-2013,Q2,12:31,2013
29-01-2014,Q3,12:35,2014
25-04-2014,Q4,13:11,2014
31-07-2014,Q1,13:47,2014
30-10-2014,Q2,12:55,2014
30-01-2015,Q3,14:07,2015
27-04-2015,Q4,14:23,2015
31-07-2015,Q1,12:11,2015
30-10-2015,Q2,13:20,2015
28-01-2016,Q3,16:03,2016
29-04-2016,Q4,12:07,2016
29-07-2016,Q1,16:39,2016
07-11-2016,Q2,16:09,2016
31-01-2017,Q3,15:50,2017
03-05-2017,Q4,18:28,2017
27-07-2017,Q1,17:02,2017
27-10-2017,Q2,16:21,2017
31-01-2018,Q3,16:26,2018
07-05-2018,Q4,17:48,2018
27-07-2018,Q1,17:49,2018
26-10-2018,Q2,16:40,2018
30-01-2019,Q3,17:32,2019
06-05-2019,Q4,16:10,2019
27-07-2019,Q1,14:58,2019
26-10-2019,Q2,16:03,2019
25-01-2020,Q3,14:25,2020
09-05-2020,Q4,16:15,2020
25-07-2020,Q1,15:30,2020
31-10-2020,Q2,15:44,2020
30-01-2021,Q3,15:10,2021
24-04-2021,Q4,17:59,2021
24-07-2021,Q1,16:23,2021
23-10-2021,Q2,16:00,2021
22-01-2022,Q3,16:17,2022
23-04-2022,Q4,16:35,2022
23-07-2022,Q1,15:06,2022
22-10-2022,Q2,16:29,2022
